,Criterios para supervisiòn o minitoreo de asignaturas virtuales e hibridas,
,Criterios,Codigo del criterio
,1.1 Actualiza OVAs (Antes S1),cp_1_1_pre
,1.2 Programa anuncios (S1),cp_1_2_s1
,2.1 Realiza sesiones de clase (Bienvenida),cp_2_1_b
,2.1 Realiza sesiones de clase (S1),cp_2_1_s1
,2.1 Realiza sesiones de clase (S2),cp_2_1_s2
,2.1 Realiza sesiones de clase (S3),cp_2_1_s3
,2.1 Realiza sesiones de clase (S4),cp_2_1_s4
,2.2 Formatos Institucionales (Bienvenida),cp_2_2_b
,2.2 Formatos Institucionales (S1),cp_2_2_s1
,2.2 Formatos Institucionales (S2),cp_2_2_s2
,2.2 Formatos Institucionales (S3),cp_2_2_s3
,2.2 Formatos Institucionales (S4),cp_2_2_s4
,3.1 Entrega evaluaciones a imprimir (S1),cp_3_1_s1
,3.2 Realiza y entrega E. Parcial (S2),cp_3_2_s2
,3.3 Realiza y entrega E. Final (S4),cp_3_3_s4
,4.1 Registra y comunica la inasistencia (S4),cp_4_1_s4
,5.1 Califica actividades (S1),cp_5_1_s1
,5.1 Califica actividades (S2),cp_5_1_s2
,5.1 Califica actividades (S3),cp_5_1_s3
,5.1 Califica actividades (S4),cp_5_1_s4
,5.2 Retroalimenta y usa la rúbrica (S1),cp_5_2_s1
,5.2 Retroalimenta y usa la rúbrica (S2),cp_5_2_s2
,5.2 Retroalimenta y usa la rúbrica (S3),cp_5_2_s3
,5.2 Retroalimenta y usa la rúbrica (S4),cp_5_2_s4
,6.1 Responde comunicaciones de alumnos (S1),cp_6_1_s1
,6.1 Responde comunicaciones de alumnos (S2),cp_6_1_s2
,6.1 Responde comunicaciones de alumnos (S3),cp_6_1_s3
,6.1 Responde comunicaciones de alumnos (S4),cp_6_1_s4
,7.1 Incentiva contra el Riesgo Académico (S1),cp_7_1_s1
,7.1 Incentiva contra el Riesgo Académico (S2),cp_7_1_s2
,7.1 Incentiva contra el Riesgo Académico (S3),cp_7_1_s3
,7.1 Incentiva contra el Riesgo Académico (S4),cp_7_1_s4
,8.1 Brinda y cumple conformidad de cierre (S4),cp_8_1_s4
,8.2 Realiza informes (S4),cp_8_2_s4
